Område;KomKode;Byområde;Navn;Folketal;Areal;Befolkningstæthed
791-10965 Løgstrup;791;10965;Løgstrup;1897.0;1.3;1484.4
791-10966 Ravnstrup;791;10966;Ravnstrup;425.0;0.4;1039.1
791-10970 Birgittelyst;791;10970;Birgittelyst;620.0;0.4;1527.1
791-10978 Hvam Stationsby;791;10978;Hvam Stationsby;298.0;0.4;780.1
791-10986 Viborg;791;10986;Viborg;40371.0;25.1;1606.0
791-13038 Finderup;791;13038;Finderup;0.0;0.0;0.0
791-13770 Låstrup;791;13770;Låstrup;0.0;0.0;0.0
791-13779 Hjarbæk;791;13779;Hjarbæk;224.0;0.5;411.0
791-14725 Vinkel;791;14725;Vinkel;211.0;0.2;950.5
791-18307 Sønder Rind;791;18307;Sønder Rind;284.0;0.3;956.2
791-18413 Knudby;791;18413;Knudby;244.0;0.4;613.1
791-99997 Uden fast bopæl;791;99997;Uden fast bopæl;158.0;0.0;0.0
791-99999 Landdistrikter;791;99999;Landdistrikter;19034.0;1351.4;14.1
810-00810 Brønderslev Kommune;810;00810;Brønderslev Kommune;0.0;0.0;0.0
810-10583 Brønderslev;810;10583;Brønderslev;12541.0;8.1;1545.6
810-10584 Øster Brønderslev;810;10584;Øster Brønderslev;963.0;0.7;1354.4
810-10597 Hallund;810;10597;Hallund;317.0;0.3;990.6
810-10598 Jerslev;810;10598;Jerslev;879.0;0.8;1135.7
810-10619 Asaa;810;10619;Asaa;1134.0;1.0;1145.5
810-10622 Hjallerup;810;10622;Hjallerup;3823.0;2.9;1327.4
810-10623 Klokkerholm;810;10623;Klokkerholm;903.0;0.8;1088.0
810-10665 Agersted;810;10665;Agersted;574.0;0.5;1127.7
810-10712 Tise;810;10712;Tise;243.0;0.2;1025.3
810-10931 Stenum;810;10931;Stenum;278.0;0.3;1003.6
810-18334 Dronninglund;810;18334;Dronninglund;3427.0;2.5;1374.1
810-18350 Serritslev;810;18350;Serritslev;465.0;0.5;947.0
810-18381 Flauenskjold;810;18381;Flauenskjold;724.0;0.9;840.9
810-99997 Uden fast bopæl;810;99997;Uden fast bopæl;73.0;0.0;0.0
810-99999 Landdistrikter;810;99999;Landdistrikter;9784.0;613.6;15.9
813-00813 Frederikshavn Kommune;813;00813;Frederikshavn Kommune;0.0;0.0;0.0
813-10579 Præstbro;813;10579;Præstbro;229.0;0.3;864.2
813-10616 Haldbjerg;813;10616;Haldbjerg;336.0;0.4;783.2
813-10618 Voerså;813;10618;Voerså;556.0;0.6;889.6
813-10983 Skagen;813;10983;Skagen;8088.0;7.8;1036.4
813-10984 Jerup;813;10984;Jerup;574.0;0.7;793.9
813-10985 Elling;813;10985;Elling;1212.0;0.9;1297.6
813-11090 Frederikshavn;813;11090;Frederikshavn;23501.0;13.5;1736.1
813-11274 Østervrå;813;11274;Østervrå;1302.0;1.0;1307.2
813-18297 Ravnshøj;813;18297;Ravnshøj;606.0;0.4;1534.2
813-18309 Kvissel;813;18309;Kvissel;414.0;0.4;1078.1
813-18312 Thorshøj;813;18312;Thorshøj;288.0;0.3;897.2
813-18316 Ålbæk;813;18316;Ålbæk;1475.0;1.6;897.2
813-18324 Sæby;813;18324;Sæby;8841.0;7.7;1151.0
813-18325 Hørby;813;18325;Hørby;465.0;0.6;812.9
813-18326 Syvsten;813;18326;Syvsten;259.0;0.2;1111.6
813-18327 Lyngså;813;18327;Lyngså;246.0;0.4;562.9
813-18342 Strandby;813;18342;Strandby;2258.0;1.5;1476.8
813-18351 Kilden;813;18351;Kilden;874.0;0.9;996.6
813-18379 Gærum;813;18379;Gærum;661.0;0.6;1178.3
813-18380 Dybvad;813;18380;Dybvad;610.0;0.7;887.9
813-99997 Uden fast bopæl;813;99997;Uden fast bopæl;90.0;0.0;0.0
813-99999 Landdistrikter;813;99999;Landdistrikter;7471.0;610.4;12.2
820-00820 Vesthimmerlands Kommune;820;00820;Vesthimmerlands Kommune;0.0;0.0;0.0
820-10719 Gedsted;820;10719;Gedsted;891.0;0.9;981.3
820-10720 Fjelsø;820;10720;Fjelsø;0.0;0.0;0.0
820-10732 Aggersund;820;10732;Aggersund;317.0;0.4;777.0
820-10733 Løgstør;820;10733;Løgstør;4104.0;3.6;1130.6
820-10739 Vegger;820;10739;Vegger;325.0;0.3;1300.0
820-10769 Østrup;820;10769;Østrup;289.0;0.2;1219.4
820-10842 Strandby;820;10842;Strandby;310.0;0.3;888.3
820-10873 Vindblæs;820;10873;Vindblæs;228.0;0.4;608.0
820-10874 Ranum;820;10874;Ranum;994.0;1.0;947.6
820-10875 Vilsted;820;10875;Vilsted;232.0;0.2;958.7
820-10876 Overlade;820;10876;Overlade;468.0;0.4;1098.6
820-10887 Hvalpsund;820;10887;Hvalpsund;682.0;1.2;590.5
820-10892 Farsø;820;10892;Farsø;3410.0;2.8;1213.5
820-10893 Havbro;820;10893;Havbro;365.0;0.4;933.5
820-10894 Vognsild;820;10894;Vognsild;265.0;0.4;722.1
820-10895 Ullits;820;10895;Ullits;293.0;0.3;993.2
820-10933 Hornum;820;10933;Hornum;909.0;0.7;1271.3
820-10934 Vester Hornum;820;10934;Vester Hornum;576.0;0.5;1127.2
820-10975 Simested;820;10975;Simested;257.0;0.2;1103.0
820-10976 Aalestrup;820;10976;Aalestrup;2775.0;2.7;1013.9
820-10980 Aars;820;10980;Aars;8246.0;6.0;1381.0
820-11259 Fandrup;820;11259;Fandrup;205.0;0.2;1145.3
820-99997 Uden fast bopæl;820;99997;Uden fast bopæl;58.0;0.0;0.0
820-99999 Landdistrikter;820;99999;Landdistrikter;11086.0;746.6;14.9
825-00825 Læsø Kommune;825;00825;Læsø Kommune;0.0;0.0;0.0
825-10384 Vesterø Havn;825;10384;Vesterø Havn;371.0;1.5;240.6
825-10504 Østerby Havn;825;10504;Østerby Havn;267.0;0.5;500.0
825-10505 Byrum;825;10505;Byrum;438.0;0.9;487.2
825-99997 Uden fast bopæl;825;99997;Uden fast bopæl;1.0;0.0;0.0
825-99999 Landdistrikter;825;99999;Landdistrikter;716.0;116.4;6.2
840-00840 Rebild Kommune;840;00840;Rebild Kommune;0.0;0.0;0.0
840-10585 Blenstrup;840;10585;Blenstrup;529.0;0.5;1130.3
840-10664 Bælum;840;10664;Bælum;772.0;0.7;1112.4
840-10734 Haverslev;840;10734;Haverslev;765.0;0.9;829.7
840-10782 Ravnkilde;840;10782;Ravnkilde;360.0;0.3;1040.5
840-10783 Rørbæk;840;10783;Rørbæk;435.0;0.4;1185.3
840-10798 Sørup;840;10798;Sørup;384.0;0.4;950.5
840-10807 Støvring;840;10807;Støvring;7516.0;5.8;1299.9
840-10827 Suldrup;840;10827;Suldrup;1250.0;0.8;1474.1
840-10830 Rebild;840;10830;Rebild;620.0;0.5;1353.7
840-10831 Skørping;840;10831;Skørping;2958.0;1.8;1662.7
840-10865 Øster Hornum;840;10865;Øster Hornum;975.0;0.7;1464.0
840-10977 Nørager;840;10977;Nørager;1168.0;1.0;1117.7
840-10981 Sønderup;840;10981;Sønderup;219.0;0.2;977.7
840-11265 Aarestrup;840;11265;Aarestrup;206.0;0.2;876.6
840-12337 Store Brøndum;840;12337;Store Brøndum;0.0;0.0;0.0
840-13954 Stenild;840;13954;Stenild;0.0;0.0;0.0
840-17177 Guldbæk;840;17177;Guldbæk;0.0;0.0;0.0
840-18344 Terndrup;840;18344;Terndrup;1587.0;1.2;1270.6
840-18840 Guldbæk Syd;840;18840;Guldbæk Syd;203.0;0.4;456.2
840-99997 Uden fast bopæl;840;99997;Uden fast bopæl;20.0;0.0;0.0
840-99999 Landdistrikter;840;99999;Landdistrikter;9424.0;605.3;15.6
846-00846 Mariagerfjord Kommune;846;00846;Mariagerfjord Kommune;0.0;0.0;0.0
846-10092 Rostrup;846;10092;Rostrup;265.0;0.4;679.5
846-10516 Hadsund;846;10516;Hadsund;4857.0;4.1;1186.7
846-10517 Hadsund Syd;846;10517;Hadsund Syd;484.0;0.5;950.9
846-10518 Assens;846;10518;Assens;1507.0;1.3;1146.9
846-10624 Veddum;846;10624;Veddum;350.0;0.4;879.4
846-10625 Øster Hurup;846;10625;Øster Hurup;718.0;1.8;408.2
846-10626 Als;846;10626;Als;937.0;0.8;1169.8
846-10679 Visborg;846;10679;Visborg;437.0;0.4;1030.7
846-10722 Hobro;846;10722;Hobro;11917.0;9.5;1248.6
846-10735 Vebbestrup;846;10735;Vebbestrup;374.0;0.4;1041.8
846-10736 Arden;846;10736;Arden;2510.0;2.0;1267.7
846-10781 Rold;846;10781;Rold;244.0;0.2;1060.9
846-10784 Øster Doense;846;10784;Øster Doense;235.0;0.4;660.1
846-10785 Døstrup;846;10785;Døstrup;332.0;0.4;907.1
846-10802 Hvornum;846;10802;Hvornum;323.0;0.4;909.9
846-10974 Valsgård;846;10974;Valsgård;1109.0;0.7;1551.0
846-10979 Hvilsom;846;10979;Hvilsom;239.0;0.2;1004.2
846-11275 Oue;846;11275;Oue;346.0;0.3;1165.0
846-12967 Hørby;846;12967;Hørby;218.0;0.3;775.8
846-14070 Skelund;846;14070;Skelund;437.0;0.4;1021.0
846-18294 Sønder Onsild;846;18294;Sønder Onsild;512.0;0.7;785.3
846-18295 Sønder Onsild Stationsby;846;18295;Sønder Onsild Stationsby;290.0;0.2;1367.9
846-18296 Handest;846;18296;Handest;222.0;0.3;816.2
846-18404 Mariager;846;18404;Mariager;2490.0;1.9;1325.2
846-18407 Norup;846;18407;Norup;258.0;0.3;837.7
846-18408 Astrup;846;18408;Astrup;529.0;0.5;1031.2
846-99997 Uden fast bopæl;846;99997;Uden fast bopæl;58.0;0.0;0.0
846-99999 Landdistrikter;846;99999;Landdistrikter;9868.0;689.6;14.3
849-00849 Jammerbugt Kommune;849;00849;Jammerbugt Kommune;0.0;0.0;0.0
849-10713 Blokhus;849;10713;Blokhus;500.0;1.8;276.2
849-10714 Hune;849;10714;Hune;601.0;0.9;676.8
849-10763 Biersted;849;10763;Biersted;1690.0;1.0;1625.0
849-10764 Nørhalne;849;10764;Nørhalne;1357.0;0.8;1704.8
849-10822 Kås;849;10822;Kås;2558.0;2.0;1268.2
849-10823 Pandrup;849;10823;Pandrup;2929.0;2.7;1090.5
849-10826 Fjerritslev;849;10826;Fjerritslev;3398.0;2.8;1230.3
849-10833 Ingstrup;849;10833;Ingstrup;396.0;0.5;821.6
849-10847 Gjøl;849;10847;Gjøl;927.0;1.0;940.2
849-10848 Halvrimmen;849;10848;Halvrimmen;646.0;0.5;1216.6
849-10859 Birkelse;849;10859;Birkelse;686.0;0.5;1402.9
849-10867 Bonderup;849;10867;Bonderup;221.0;0.2;932.5
849-10869 Tranum;849;10869;Tranum;446.0;0.9;499.4
849-10870 Aabybro;849;10870;Aabybro;5859.0;4.1;1424.9
849-10926 Vester Torup;849;10926;Vester Torup;251.0;0.4;693.4
849-10927 Klim;849;10927;Klim;446.0;0.5;929.2
849-10928 Arentsminde;849;10928;Arentsminde;420.0;0.5;933.3
849-10929 Skovsgård;849;10929;Skovsgård;865.0;0.9;986.3
849-10930 Østerby;849;10930;Østerby;400.0;0.5;798.4
849-10932 Saltum;849;10932;Saltum;690.0;0.6;1071.4
849-10962 Moseby;849;10962;Moseby;0.0;0.0;0.0
849-11257 Gøttrup;849;11257;Gøttrup;203.0;0.2;886.5
849-11269 Brovst;849;11269;Brovst;2733.0;2.3;1164.0
849-12055 Vester Hjermitslev;849;12055;Vester Hjermitslev;409.0;0.5;777.6
849-13760 Ny Skovsgård;849;13760;Ny Skovsgård;230.0;0.3;697.0
849-99997 Uden fast bopæl;849;99997;Uden fast bopæl;15.0;0.0;0.0
849-99999 Landdistrikter;849;99999;Landdistrikter;9705.0;837.6;11.6
851-00851 Aalborg Kommune;851;00851;Aalborg Kommune;0.0;0.0;0.0
851-10085 Nørre Kongerslev;851;10085;Nørre Kongerslev;274.0;0.3;1022.4
851-10093 Fjellerad;851;10093;Fjellerad;424.0;0.3;1390.2
851-10094 Mou;851;10094;Mou;1142.0;0.8;1449.2
851-10095 Egense;851;10095;Egense;0.0;0.0;0.0
851-10096 Hals;851;10096;Hals;2459.0;1.6;1530.2
851-10575 Sulsted;851;10575;Sulsted;1539.0;1.0;1535.9
851-10577 Storvorde;851;10577;Storvorde;3331.0;1.9;1742.2
851-10578 Vaarst;851;10578;Vaarst;394.0;0.3;1335.6
851-10582 Vodskov;851;10582;Vodskov;4292.0;2.6;1647.6
851-10594 Vester Hassing;851;10594;Vester Hassing;2554.0;1.7;1480.6
851-10595 Stae;851;10595;Stae;364.0;0.4;1013.9
851-10599 Kongerslev;851;10599;Kongerslev;1376.0;1.2;1158.2
851-10600 Gistrup;851;10600;Gistrup;3579.0;2.0;1820.4
851-10601 Klarup;851;10601;Klarup;4714.0;2.5;1869.2
851-10602 Nøvling;851;10602;Nøvling;381.0;0.2;1567.9
851-10603 Gudumholm;851;10603;Gudumholm;768.0;0.5;1462.9
851-10620 Vestbjerg;851;10620;Vestbjerg;2810.0;1.7;1634.7
851-10621 Uggerhalne;851;10621;Uggerhalne;284.0;0.3;1036.5
851-10666 Hou;851;10666;Hou;685.0;0.9;782.0
851-10740 Farstrup;851;10740;Farstrup;434.0;0.5;817.3
851-10741 Sebbersund;851;10741;Sebbersund;349.0;0.3;1133.1
851-10742 Valsted;851;10742;Valsted;233.0;0.3;829.2
851-10752 Kølby;851;10752;Kølby;0.0;0.0;0.0
851-10761 Nibe;851;10761;Nibe;5233.0;2.9;1802.6
851-10765 Vadum;851;10765;Vadum;2336.0;1.4;1700.1
851-10860 Sønderholm;851;10860;Sønderholm;876.0;0.6;1489.8
851-10861 Dall Villaby;851;10861;Dall Villaby;1084.0;0.6;1869.0
851-10862 Frejlev;851;10862;Frejlev;2779.0;1.7;1616.6
851-10863 Godthåb;851;10863;Godthåb;0.0;0.0;0.0
851-10864 Svenstrup;851;10864;Svenstrup;7257.0;5.0;1446.2
851-10866 Ferslev;851;10866;Ferslev;724.0;0.5;1381.7
851-10917 Ellidshøj;851;10917;Ellidshøj;518.0;0.4;1359.6
851-10924 Bislev;851;10924;Bislev;217.0;0.3;720.9
851-10938 Aalborg;851;10938;Aalborg;113417.0;50.1;2262.8
851-11270 Langholt;851;11270;Langholt;977.0;0.7;1449.6
851-13594 Nørholm;851;13594;Nørholm;281.0;0.3;986.0
851-18292 Tylstrup;851;18292;Tylstrup;1295.0;1.0;1346.2
851-18311 Grindsted;851;18311;Grindsted;713.0;0.4;1609.5
851-18335 Gandrup;851;18335;Gandrup;1532.0;1.3;1203.5
851-18336 Ulsted;851;18336;Ulsted;1066.0;0.7;1503.5
851-18442 Nørresundby;851;18442;Nørresundby;22600.0;10.6;2131.1
851-70378 Koldkær;851;70378;Koldkær;0.0;0.0;0.0
851-99997 Uden fast bopæl;851;99997;Uden fast bopæl;585.0;0.0;0.0
851-99999 Landdistrikter;851;99999;Landdistrikter;16061.0;1037.6;15.5
860-00860 Hjørring Kommune;860;00860;Hjørring Kommune;0.0;0.0;0.0
860-10515 Uggerby;860;10515;Uggerby;210.0;0.3;836.7
860-10526 Vidstrup;860;10526;Vidstrup;213.0;0.2;1323.0
860-10529 Tornby;860;10529;Tornby;1023.0;1.0;1042.8
860-10530 Lønstrup;860;10530;Lønstrup;521.0;1.8;283.6
860-10531 Bjergby;860;10531;Bjergby;871.0;0.8;1027.1
860-10550 Astrup;860;10550;Astrup;579.0;0.5;1146.5
860-10555 Sindal;860;10555;Sindal;3069.0;2.8;1090.6
860-10772 Løkken;860;10772;Løkken;1576.0;2.6;616.1
860-10773 Sønder Rubjerg;860;10773;Sønder Rubjerg;220.0;0.3;647.1
860-10832 Vrensted;860;10832;Vrensted;310.0;0.5;665.2
860-10950 Poulstrup;860;10950;Poulstrup;454.0;0.4;1201.1
860-10961 Vrå;860;10961;Vrå;2484.0;2.2;1145.2
860-11091 Hjørring;860;11091;Hjørring;25764.0;17.4;1478.2
860-11268 Harken;860;11268;Harken;404.0;0.5;814.5
860-13289 Hundelev;860;13289;Hundelev;224.0;0.3;783.2
860-17168 Børglum;860;17168;Børglum;0.0;0.0;0.0
860-18298 Mosbjerg;860;18298;Mosbjerg;264.0;0.3;874.2
860-18300 Bindslev;860;18300;Bindslev;1117.0;1.1;1002.7
860-18301 Tversted;860;18301;Tversted;568.0;2.9;196.0
860-18302 Åbyen;860;18302;Åbyen;573.0;0.3;1854.4
860-18306 Tolne;860;18306;Tolne;203.0;0.2;894.3
860-18315 Lendum;860;18315;Lendum;540.0;0.5;1120.3
860-18317 Hirtshals;860;18317;Hirtshals;5880.0;4.4;1327.0
860-18318 Horne;860;18318;Horne;701.0;0.5;1325.1
860-18377 Lørslev;860;18377;Lørslev;271.0;0.3;1000.0
860-18378 Tårs;860;18378;Tårs;1886.0;1.5;1255.7
860-18403 Rakkeby;860;18403;Rakkeby;233.0;0.3;756.5
860-99997 Uden fast bopæl;860;99997;Uden fast bopæl;77.0;0.0;0.0
860-99999 Landdistrikter;860;99999;Landdistrikter;15072.0;882.7;17.1
